entity,name,type,primary_key_type,coding_name,concept,description,folder_path,is_multi_select,is_sparse_coding,linkout,longitudinal_axis_type,referenced_entity_field,relationship,title,units
participant,p22608_a24,integer,,data_coding_493,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22608,,,,Workplace very hot | Array 24,
participant,p2784_i1,integer,,data_coding_100349,,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2784,,,,Ever taken oral contraceptive pill | Instance 1,
participant,p102780_i4,integer,,data_coding_100001,,,Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102780,,,,Other grain intake | Instance 4,Serving
participant,p41217,integer,,data_coding_228,,,Health-related outcomes > Hospital inpatient > Summary Psychiatric,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41217,,,,Mental categories,
participant,p22704_a7,integer,,,,,Additional exposures > Local environment > Home locations,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22704,,,,Home location - north co-ordinate (rounded) | Array 7,metre-grid
participant,p20011_i1_a18,float,,data_coding_13,,,UK Biobank Assessment Centre > Verbal interview > Operations,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20011,,,,Interpolated Age of participant when operation took place | Instance 1 | Array 18,years
participant,p20081_i2,integer,,,,,Online follow-up > Diet by 24-hour recall > Diet questionnaire performance,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20081,,,,Hour-of-day questionnaire completed | Instance 2,hours
participant,p3773_i0,integer,,data_coding_100349,,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3773,,,,Knee pain for 3+ months | Instance 0,
participant,p20112_i2_a5,integer,,data_coding_1010,,,UK Biobank Assessment Centre > Touchscreen > Family history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20112,,,,Illnesses of adopted father | Instance 2 | Array 5,
participant,p4237_i0_a14,integer,,data_coding_17,,,UK Biobank Assessment Centre > Physical measures > Hearing test,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4237,,,,Time to press 'next' (left) | Instance 0 | Array 14,deciseconds
participant,p20104_i3,integer,,data_coding_83,,,Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20104,,,,Thickness of butter/margarine spread on other bread | Instance 3,
participant,p5986_i0_a84,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5986,,,,"ECG, phase time | Instance 0 | Array 84",seconds
participant,p5112_i1_a5,integer,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5112,,,,3mm cylindrical power angle (left) | Instance 1 | Array 5,degrees
participant,p5986_i0_a87,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5986,,,,"ECG, phase time | Instance 0 | Array 87",seconds
participant,p20011_i2_a9,float,,data_coding_13,,,UK Biobank Assessment Centre > Verbal interview > Operations,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20011,,,,Interpolated Age of participant when operation took place | Instance 2 | Array 9,years
